,id,empID,name,designation,password,email,mobile,performance_rate
0,1,EMP001,Employee1,Lead,password1,employee1@emp.com,9046093686,55.89
1,2,EMP002,Employee2,SDE2,password2,employee2@emp.com,7480247387,58.42
2,3,EMP003,Employee3,HR,password3,employee3@emp.com,7279416815,83.39
3,4,EMP004,Employee4,Lead,password4,employee4@emp.com,8482436691,50.19
4,5,EMP005,Employee5,DevOps,password5,employee5@emp.com,8247966357,43.21
5,6,EMP006,Employee6,HR,password6,employee6@emp.com,7445110124,26.82
6,7,EMP007,Employee7,Lead,password7,employee7@emp.com,7003117189,60.06
7,8,EMP008,Employee8,Manager,password8,employee8@emp.com,9327791273,36.94
8,9,EMP009,Employee9,SDE1,password9,employee9@emp.com,7252207497,37.19
9,10,EMP010,Employee10,HR,password10,employee10@emp.com,8138932787,53.17
10,11,EMP011,Employee11,SDE2,password11,employee11@emp.com,8414349793,50.19
11,12,EMP012,Employee12,QA,password12,employee12@emp.com,8277227506,48.61
12,13,EMP013,Employee13,HR,password13,employee13@emp.com,8378391998,43.75
13,14,EMP014,Employee14,SDE2,password14,employee14@emp.com,8745508842,0.0
14,15,EMP015,Employee15,Designer,password15,employee15@emp.com,8649274626,59.01
15,16,EMP016,Employee16,DevOps,password16,employee16@emp.com,9986662914,64.37
16,17,EMP017,Employee17,Designer,password17,employee17@emp.com,7476684180,43.56
17,18,EMP018,Employee18,Manager,password18,employee18@emp.com,9931509638,67.22
18,19,EMP019,Employee19,Manager,password19,employee19@emp.com,7195235384,68.34
19,20,EMP020,Employee20,Lead,password20,employee20@emp.com,8453925277,53.09
20,21,EMP021,Employee21,SDE1,password21,employee21@emp.com,9826970986,49.21
21,22,EMP022,Employee22,DevOps,password22,employee22@emp.com,7055590067,41.97
22,23,EMP023,Employee23,Lead,password23,employee23@emp.com,7044579877,89.56
23,24,EMP024,Employee24,Lead,password24,employee24@emp.com,8761527441,46.32
24,25,EMP025,Employee25,Lead,password25,employee25@emp.com,8888460670,51.57
25,26,EMP026,Employee26,Manager,password26,employee26@emp.com,8882317317,48.49
26,27,EMP027,Employee27,SDE1,password27,employee27@emp.com,7791582533,50.1
27,28,EMP028,Employee28,DevOps,password28,employee28@emp.com,9843842727,13.67
28,29,EMP029,Employee29,Lead,password29,employee29@emp.com,9655176324,46.03
29,30,EMP030,Employee30,Lead,password30,employee30@emp.com,8907998643,28.59
30,31,EMP031,Employee31,Manager,password31,employee31@emp.com,8005649305,43.9
31,32,EMP032,Employee32,QA,password32,employee32@emp.com,7016368020,42.92
32,33,EMP033,Employee33,Designer,password33,employee33@emp.com,7490906909,86.54
33,34,EMP034,Employee34,SDE1,password34,employee34@emp.com,9080773365,0.0
34,35,EMP035,Employee35,SDE1,password35,employee35@emp.com,7804329984,41.02
35,36,EMP036,Employee36,SDE2,password36,employee36@emp.com,8237050567,42.82
36,37,EMP037,Employee37,HR,password37,employee37@emp.com,8210420284,70.3
37,38,EMP038,Employee38,Designer,password38,employee38@emp.com,9442586737,59.19
38,39,EMP039,Employee39,HR,password39,employee39@emp.com,7634613034,62.15
39,40,EMP040,Employee40,Manager,password40,employee40@emp.com,9681741365,40.92
40,41,EMP041,Employee41,Lead,password41,employee41@emp.com,8009243450,74.92
41,42,EMP042,Employee42,SDE1,password42,employee42@emp.com,9998870784,35.28
42,43,EMP043,Employee43,Lead,password43,employee43@emp.com,8997690578,45.33
43,44,EMP044,Employee44,SDE1,password44,employee44@emp.com,7333730432,7.68
44,45,EMP045,Employee45,Manager,password45,employee45@emp.com,9746037638,78.53
45,46,EMP046,Employee46,Manager,password46,employee46@emp.com,9336464746,60.94
46,47,EMP047,Employee47,Manager,password47,employee47@emp.com,8967334658,47.53
47,48,EMP048,Employee48,Designer,password48,employee48@emp.com,7696024313,23.88
48,49,EMP049,Employee49,SDE2,password49,employee49@emp.com,8031775897,56.51
49,50,EMP050,Employee50,SDE2,password50,employee50@emp.com,9821764607,66.96
50,51,EMP051,Employee51,SDE1,password51,employee51@emp.com,7362063275,65.86
51,52,EMP052,Employee52,DevOps,password52,employee52@emp.com,8960376913,29.96
52,53,EMP053,Employee53,Lead,password53,employee53@emp.com,8101789793,66.49
53,54,EMP054,Employee54,QA,password54,employee54@emp.com,9652002980,36.09
54,55,EMP055,Employee55,DevOps,password55,employee55@emp.com,7760334439,76.0
55,56,EMP056,Employee56,QA,password56,employee56@emp.com,8317400412,51.46
56,57,EMP057,Employee57,Manager,password57,employee57@emp.com,9695703382,43.6
57,58,EMP058,Employee58,SDE1,password58,employee58@emp.com,7065325976,57.1
58,59,EMP059,Employee59,Manager,password59,employee59@emp.com,7888465986,23.83
59,60,EMP060,Employee60,Designer,password60,employee60@emp.com,7866673772,74.51
60,61,EMP061,Employee61,SDE1,password61,employee61@emp.com,7722370557,44.5
61,62,EMP062,Employee62,HR,password62,employee62@emp.com,9260205594,46.38
62,63,EMP063,Employee63,SDE2,password63,employee63@emp.com,7991004151,63.1
63,64,EMP064,Employee64,Lead,password64,employee64@emp.com,8878666577,74.46
64,65,EMP065,Employee65,Manager,password65,employee65@emp.com,7804871039,58.64
65,66,EMP066,Employee66,QA,password66,employee66@emp.com,8317896761,60.09
66,67,EMP067,Employee67,Designer,password67,employee67@emp.com,7481098916,52.32
67,68,EMP068,Employee68,SDE1,password68,employee68@emp.com,7739440224,46.43
68,69,EMP069,Employee69,Designer,password69,employee69@emp.com,8924004277,66.27
69,70,EMP070,Employee70,SDE1,password70,employee70@emp.com,7396593985,70.76
