id,empid,name,designation,password,email,mobile,performance_rate
1,EMP001,Employee1,Lead,password1,employee1@emp.com,9046093686,0
2,EMP002,Employee2,SDE2,password2,employee2@emp.com,7480247387,0
3,EMP003,Employee3,HR,password3,employee3@emp.com,7279416815,0
4,EMP004,Employee4,Lead,password4,employee4@emp.com,8482436691,0
5,EMP005,Employee5,DevOps,password5,employee5@emp.com,8247966357,0
6,EMP006,Employee6,HR,password6,employee6@emp.com,7445110124,0
7,EMP007,Employee7,Lead,password7,employee7@emp.com,7003117189,0
8,EMP008,Employee8,Manager,password8,employee8@emp.com,9327791273,0
9,EMP009,Employee9,SDE1,password9,employee9@emp.com,7252207497,0
10,EMP010,Employee10,HR,password10,employee10@emp.com,8138932787,0
11,EMP011,Employee11,SDE2,password11,employee11@emp.com,8414349793,0
12,EMP012,Employee12,QA,password12,employee12@emp.com,8277227506,0
13,EMP013,Employee13,HR,password13,employee13@emp.com,8378391998,0
14,EMP014,Employee14,SDE2,password14,employee14@emp.com,8745508842,0
15,EMP015,Employee15,Designer,password15,employee15@emp.com,8649274626,0
16,EMP016,Employee16,DevOps,password16,employee16@emp.com,9986662914,0
17,EMP017,Employee17,Designer,password17,employee17@emp.com,7476684180,0
18,EMP018,Employee18,Manager,password18,employee18@emp.com,9931509638,0
19,EMP019,Employee19,Manager,password19,employee19@emp.com,7195235384,0
20,EMP020,Employee20,Lead,password20,employee20@emp.com,8453925277,0
21,EMP021,Employee21,SDE1,password21,employee21@emp.com,9826970986,0
22,EMP022,Employee22,DevOps,password22,employee22@emp.com,7055590067,0
23,EMP023,Employee23,Lead,password23,employee23@emp.com,7044579877,0
24,EMP024,Employee24,Lead,password24,employee24@emp.com,8761527441,0
25,EMP025,Employee25,Lead,password25,employee25@emp.com,8888460670,0
26,EMP026,Employee26,Manager,password26,employee26@emp.com,8882317317,0
27,EMP027,Employee27,SDE1,password27,employee27@emp.com,7791582533,0
28,EMP028,Employee28,DevOps,password28,employee28@emp.com,9843842727,0
29,EMP029,Employee29,Lead,password29,employee29@emp.com,9655176324,0
30,EMP030,Employee30,Lead,password30,employee30@emp.com,8907998643,0
31,EMP031,Employee31,Manager,password31,employee31@emp.com,8005649305,0
32,EMP032,Employee32,QA,password32,employee32@emp.com,7016368020,0
33,EMP033,Employee33,Designer,password33,employee33@emp.com,7490906909,0
34,EMP034,Employee34,SDE1,password34,employee34@emp.com,9080773365,0
35,EMP035,Employee35,SDE1,password35,employee35@emp.com,7804329984,0
36,EMP036,Employee36,SDE2,password36,employee36@emp.com,8237050567,0
37,EMP037,Employee37,HR,password37,employee37@emp.com,8210420284,0
38,EMP038,Employee38,Designer,password38,employee38@emp.com,9442586737,0
39,EMP039,Employee39,HR,password39,employee39@emp.com,7634613034,0
40,EMP040,Employee40,Manager,password40,employee40@emp.com,9681741365,0
