empID,name,designation,password,email,mobile,performance_rate
EMP001,Employee1,Manager,password1,employee1@emp.com,7563583762,0
EMP002,Employee2,Manager,password2,employee2@emp.com,8896788018,0
EMP003,Employee3,SDE2,password3,employee3@emp.com,9746875033,0
EMP004,Employee4,HR,password4,employee4@emp.com,9410583851,0
EMP005,Employee5,DevOps,password5,employee5@emp.com,9683762003,0
EMP006,Employee6,Designer,password6,employee6@emp.com,7706163383,0
EMP007,Employee7,HR,password7,employee7@emp.com,9333060355,0
EMP008,Employee8,Manager,password8,employee8@emp.com,8593011093,0
EMP009,Employee9,Manager,password9,employee9@emp.com,8059839194,0
EMP010,Employee10,SDE1,password10,employee10@emp.com,7013552602,0
EMP011,Employee11,Designer,password11,employee11@emp.com,7248258499,0
EMP012,Employee12,Lead,password12,employee12@emp.com,9333110897,0
EMP013,Employee13,Lead,password13,employee13@emp.com,7439437162,0
EMP014,Employee14,DevOps,password14,employee14@emp.com,8467606929,0
EMP015,Employee15,SDE1,password15,employee15@emp.com,8981019347,0
EMP016,Employee16,Designer,password16,employee16@emp.com,8273301475,0
EMP017,Employee17,SDE1,password17,employee17@emp.com,8884260897,0
EMP018,Employee18,QA,password18,employee18@emp.com,9942738308,0
EMP019,Employee19,Lead,password19,employee19@emp.com,7165270899,0
EMP020,Employee20,Manager,password20,employee20@emp.com,9384953882,0
EMP021,Employee21,SDE2,password21,employee21@emp.com,7634821851,0
EMP022,Employee22,Manager,password22,employee22@emp.com,9792278076,0
EMP023,Employee23,DevOps,password23,employee23@emp.com,9598662327,0
EMP024,Employee24,Designer,password24,employee24@emp.com,7292126871,0
EMP025,Employee25,Manager,password25,employee25@emp.com,9391291535,0
EMP026,Employee26,SDE1,password26,employee26@emp.com,7732387917,0
EMP027,Employee27,HR,password27,employee27@emp.com,9333145289,0
EMP028,Employee28,SDE2,password28,employee28@emp.com,9086930842,0
EMP029,Employee29,Manager,password29,employee29@emp.com,8491073582,0
EMP030,Employee30,Lead,password30,employee30@emp.com,8185578816,0
EMP031,Employee31,SDE2,password31,employee31@emp.com,9862165929,0
EMP032,Employee32,SDE1,password32,employee32@emp.com,9496086145,0
EMP033,Employee33,SDE1,password33,employee33@emp.com,7542050597,0
EMP034,Employee34,Manager,password34,employee34@emp.com,9464240587,0
EMP035,Employee35,HR,password35,employee35@emp.com,8781027582,0
EMP036,Employee36,QA,password36,employee36@emp.com,8906740320,0
EMP037,Employee37,Lead,password37,employee37@emp.com,8728063853,0
EMP038,Employee38,SDE1,password38,employee38@emp.com,8984095998,0
EMP039,Employee39,SDE1,password39,employee39@emp.com,9739333490,0
EMP040,Employee40,HR,password40,employee40@emp.com,7846736521,0
EMP041,Employee41,SDE2,password41,employee41@emp.com,8696711017,0
EMP042,Employee42,Lead,password42,employee42@emp.com,7633844081,0
EMP043,Employee43,QA,password43,employee43@emp.com,8687936252,0
EMP044,Employee44,QA,password44,employee44@emp.com,9206230338,0
EMP045,Employee45,SDE2,password45,employee45@emp.com,8500650112,0
EMP046,Employee46,Manager,password46,employee46@emp.com,8859032730,0
EMP047,Employee47,DevOps,password47,employee47@emp.com,8917923100,0
EMP048,Employee48,Lead,password48,employee48@emp.com,9849057444,0
EMP049,Employee49,HR,password49,employee49@emp.com,9580618167,0
EMP050,Employee50,DevOps,password50,employee50@emp.com,8548341187,0
EMP051,Employee51,Manager,password51,employee51@emp.com,7813237788,0
EMP052,Employee52,Lead,password52,employee52@emp.com,7665898406,0
EMP053,Employee53,HR,password53,employee53@emp.com,9263035506,0
EMP054,Employee54,DevOps,password54,employee54@emp.com,7827683489,0
EMP055,Employee55,SDE1,password55,employee55@emp.com,8250032932,0
EMP056,Employee56,DevOps,password56,employee56@emp.com,8899801933,0
EMP057,Employee57,DevOps,password57,employee57@emp.com,7172347790,0
EMP058,Employee58,SDE1,password58,employee58@emp.com,7491497081,0
EMP059,Employee59,Designer,password59,employee59@emp.com,8883092651,0
EMP060,Employee60,Designer,password60,employee60@emp.com,9055861242,0
EMP061,Employee61,Lead,password61,employee61@emp.com,7191920245,0
EMP062,Employee62,Designer,password62,employee62@emp.com,7505106908,0
EMP063,Employee63,DevOps,password63,employee63@emp.com,9958471921,0
EMP064,Employee64,HR,password64,employee64@emp.com,9287163866,0
EMP065,Employee65,Manager,password65,employee65@emp.com,8165267463,0
EMP066,Employee66,SDE2,password66,employee66@emp.com,8943119823,0
EMP067,Employee67,Designer,password67,employee67@emp.com,7827565331,0
EMP068,Employee68,SDE2,password68,employee68@emp.com,7504206410,0
EMP069,Employee69,Lead,password69,employee69@emp.com,8499315369,0
EMP070,Employee70,SDE2,password70,employee70@emp.com,9499657335,0
EMP071,Employee71,Lead,password71,employee71@emp.com,9511426749,0
EMP072,Employee72,Designer,password72,employee72@emp.com,7169587231,0
EMP073,Employee73,QA,password73,employee73@emp.com,7872291638,0
EMP074,Employee74,Designer,password74,employee74@emp.com,7644071831,0
EMP075,Employee75,HR,password75,employee75@emp.com,8060609206,0
EMP076,Employee76,Manager,password76,employee76@emp.com,8532124215,0
EMP077,Employee77,SDE1,password77,employee77@emp.com,9740969493,0
EMP078,Employee78,Lead,password78,employee78@emp.com,8138725876,0
EMP079,Employee79,Lead,password79,employee79@emp.com,9237082880,0
EMP080,Employee80,DevOps,password80,employee80@emp.com,8234482246,0
EMP081,Employee81,SDE2,password81,employee81@emp.com,7250206445,0
EMP082,Employee82,Lead,password82,employee82@emp.com,8202526964,0
EMP083,Employee83,HR,password83,employee83@emp.com,8422144566,0
EMP084,Employee84,DevOps,password84,employee84@emp.com,8196518648,0
EMP085,Employee85,Manager,password85,employee85@emp.com,9581273271,0
EMP086,Employee86,QA,password86,employee86@emp.com,8180984124,0
EMP087,Employee87,Lead,password87,employee87@emp.com,9332576429,0
EMP088,Employee88,Manager,password88,employee88@emp.com,7122408047,0
EMP089,Employee89,SDE2,password89,employee89@emp.com,8627081292,0
EMP090,Employee90,SDE1,password90,employee90@emp.com,7097324355,0
EMP091,Employee91,SDE2,password91,employee91@emp.com,9045798774,0
EMP092,Employee92,Lead,password92,employee92@emp.com,8119370624,0
EMP093,Employee93,Manager,password93,employee93@emp.com,9552319132,0
EMP094,Employee94,SDE2,password94,employee94@emp.com,9678338217,0
EMP095,Employee95,Lead,password95,employee95@emp.com,7742800565,0
EMP096,Employee96,SDE1,password96,employee96@emp.com,9096434234,0
EMP097,Employee97,Designer,password97,employee97@emp.com,9487004678,0
EMP098,Employee98,QA,password98,employee98@emp.com,8854452179,0
EMP099,Employee99,Manager,password99,employee99@emp.com,8986437289,0
EMP100,Employee100,Manager,password100,employee100@emp.com,7625991455,0
EMP101,Employee101,Manager,password101,employee101@emp.com,7375080060,0
EMP102,Employee102,DevOps,password102,employee102@emp.com,9256827133,0
EMP103,Employee103,QA,password103,employee103@emp.com,9145864630,0
EMP104,Employee104,SDE1,password104,employee104@emp.com,7430899125,0
EMP105,Employee105,HR,password105,employee105@emp.com,9213780565,0
EMP106,Employee106,SDE1,password106,employee106@emp.com,7719373424,0
EMP107,Employee107,Manager,password107,employee107@emp.com,8568954142,0
EMP108,Employee108,Lead,password108,employee108@emp.com,7912031285,0
EMP109,Employee109,Lead,password109,employee109@emp.com,7218229267,0
EMP110,Employee110,DevOps,password110,employee110@emp.com,9829927052,0
EMP111,Employee111,Designer,password111,employee111@emp.com,9045332620,0
EMP112,Employee112,HR,password112,employee112@emp.com,8884521791,0
EMP113,Employee113,HR,password113,employee113@emp.com,8823430088,0
EMP114,Employee114,Designer,password114,employee114@emp.com,8534096376,0
EMP115,Employee115,SDE2,password115,employee115@emp.com,7325135080,0
EMP116,Employee116,QA,password116,employee116@emp.com,8516967566,0
EMP117,Employee117,DevOps,password117,employee117@emp.com,9978895367,0
EMP118,Employee118,SDE1,password118,employee118@emp.com,8177182108,0
EMP119,Employee119,QA,password119,employee119@emp.com,9844567996,0
EMP120,Employee120,QA,password120,employee120@emp.com,9488464363,0
EMP121,Employee121,DevOps,password121,employee121@emp.com,8534219547,0
EMP122,Employee122,Manager,password122,employee122@emp.com,9049344969,0
EMP123,Employee123,QA,password123,employee123@emp.com,7953512281,0
EMP124,Employee124,HR,password124,employee124@emp.com,8147722200,0
EMP125,Employee125,QA,password125,employee125@emp.com,9763233214,0
EMP126,Employee126,QA,password126,employee126@emp.com,7078546239,0
EMP127,Employee127,HR,password127,employee127@emp.com,8681332022,0
EMP128,Employee128,Manager,password128,employee128@emp.com,8122644222,0
EMP129,Employee129,Designer,password129,employee129@emp.com,7799546101,0
EMP130,Employee130,HR,password130,employee130@emp.com,7196673216,0
EMP131,Employee131,Designer,password131,employee131@emp.com,9887113654,0
EMP132,Employee132,SDE1,password132,employee132@emp.com,7107072036,0
EMP133,Employee133,HR,password133,employee133@emp.com,9380730079,0
EMP134,Employee134,Lead,password134,employee134@emp.com,9639425093,0
EMP135,Employee135,DevOps,password135,employee135@emp.com,9087769282,0
EMP136,Employee136,HR,password136,employee136@emp.com,9033794183,0
EMP137,Employee137,Designer,password137,employee137@emp.com,8965205948,0
EMP138,Employee138,HR,password138,employee138@emp.com,7939013811,0
